url,global_rank,country_rank,reach_per_million,page_views_per_million,page_views_per_user,category,lang_code
swappa.com,9436,9436,67,14.2,7.77,Shopping,en
lelong.com.my,9489,9489,79,8.44,3.92,Shopping,en
safeway.com,9516,9516,74.3,9.91,4.89,Shopping,en
fineartamerica.com,9518,9518,86.3,6.7,2.85,Shopping,en
pricena.com,9550,9550,92.3,5.69,2.26,Shopping,en
3dsky.org,9562,9562,67,13.4,7.4,Shopping,en
freepeople.com,9572,9572,74.5,9.61,4.73,Shopping,en
shopstyle.co.uk,9606,9606,82,7.37,3.3,Shopping,en
ar15.com,9631,9631,65,14.4,8.12,Shopping,en
couponfollow.com,9680,9680,90.5,5.68,2.31,Shopping,en
shopgoodwill.com,9695,9695,62.3,16,9.44,Shopping,en
ray-ban.com,9729,9729,75.4,8.72,4.25,Shopping,en
free-power-point-templates.com,9770,9770,68.9,11.2,5.95,Shopping,en
dillards.com,9774,9774,73.6,9.17,4.57,Shopping,en
which.co.uk,9786,9786,91.4,5.39,2.16,Shopping,en
mcmaster.com,9789,9789,91.7,5.35,2.14,Shopping,en
bricklink.com,9790,9790,66.7,12.3,6.8,Shopping,en
oreillyauto.com,9798,9798,81.7,6.93,3.11,Shopping,en
bluedart.com,9804,9804,86.7,6.02,2.55,Shopping,en
topcashback.com,9815,9815,76,8.28,4,Shopping,en
katespade.com,9826,9826,74,8.97,4.5,Shopping,en
okp.com,9859,9859,72,9.4,4.8,Shopping,en
mypoints.com,9861,9861,73.7,8.91,4.44,Shopping,en
theinventory.com,9891,9891,99.4,4.45,1.64,Shopping,en
ikea.cn,9896,9896,63,14.3,8.3,Shopping,en
ebgames.ca,9904,9904,107.56,15.81,5.394,Shopping,en
pacsun.com,9949,9949,72.4,9.02,4.57,Shopping,en
whathifi.com,9965,9965,90.9,5.17,2.09,Shopping,en
houseoffraser.co.uk,9968,9968,70,9.79,5.1,Shopping,en
desidime.com,10067,10067,76.3,7.42,3.57,Shopping,en
jollychic.com,10115,10115,57,18.1,12,Shopping,en
harley-davidson.com,10126,10126,78.9,6.66,3.1,Shopping,en
orientaltrading.com,10129,10129,64.8,11.5,6.54,Shopping,en
coach.com,10137,10137,69,9.38,5,Shopping,en
mockupworld.co,10168,10168,65.1,11.2,6.32,Shopping,en
staples.ca,10191,10191,77.6,6.81,3.22,Shopping,en
wyndhamhotels.com,10233,10233,81.5,5.98,2.69,Shopping,en
asus.com.cn,10251,10251,72,8.11,4.1,Shopping,en
appleinsider.com,10270,10270,101,3.84,1.39,Shopping,en
shoes.com,10342,10342,71.8,7.85,4.01,Shopping,en
modcloth.com,10354,10354,65.1,10.3,5.83,Shopping,en
coinex.com,10416,10416,77,6.45,3.1,Shopping,en
drmartens.com,10448,10448,65,10.1,5.7,Shopping,en
doityourself.com,10477,10477,105,3.46,1.21,Shopping,en
trekbikes.com,10508,10508,72.9,7.09,3.57,Shopping,en
