url,global_rank,country_rank,reach_per_million,page_views_per_million,page_views_per_user,category
catawiki.com,17327,17327,42,4.59,4,Shopping
bluenile.com,17329,17329,40,5.29,4.8,Shopping
anker.com,17332,17332,50,3.05,2.2,Shopping
nowaroos.com,17341,17341,50.26,4.93,3.603,Shopping
adidas.com.cn,17354,17354,37,7,7,Shopping
surfstitch.com,17367,17367,37,6.52,6.4,Shopping
goldprice.org,17368,17368,62.2,2.06,1.2,Shopping
hasbro.com,17372,17372,44.7,3.91,3.21,Shopping
4imprint.com,17375,17375,42.5,4.46,3.85,Shopping
notalwaysright.com,17381,17381,36.6,6.9,6.92,Shopping
sheetmusicplus.com,17392,17392,49,3.23,2.4,Shopping
fashionsnap.com,17393,17393,48,3.3,2.5,Shopping
volkswagen.de,17417,17417,44,4.13,3.5,Shopping
modsgaming.ru,17455,17455,34.4,8.33,8.88,Shopping
abc-mart.net,17459,17459,39,5.7,5.4,Shopping
serietvonline.com,17462,17462,50,2.95,2.2,Shopping
bazar.sk,17468,17468,41.9,4.55,3.99,Shopping
27.ua,17479,17479,39,5.54,5.22,Shopping
moneygram.com,17499,17499,50.5,2.9,2.1,Shopping
apc.com,17525,17525,43,4.28,3.7,Shopping
x-plane.org,17532,17532,48,3.24,2.5,Shopping
jumia.cm,17534,17534,39.6,5.23,4.84,Shopping
rona.ca,17537,17537,43.1,4.15,3.53,Shopping
standvirtual.com,17545,17545,36,6.69,6.7,Shopping
hiconsumption.com,17556,17556,46.7,3.41,2.68,Shopping
steepandcheap.com,17563,17563,39,5.45,5.1,Shopping
build.com,17574,17574,41,4.68,4.19,Shopping
xbiao.com,17579,17579,39,5.5,5.2,Shopping
moosejaw.com,17590,17590,44,3.96,3.3,Shopping
taaze.tw,17608,17608,40.4,4.86,4.4,Shopping
qvc.de,17612,17612,35,7.34,7.6,Shopping
weltbild.de,17617,17617,39.7,5.08,4.7,Shopping
creema.jp,17624,17624,37,6.11,6,Shopping
yeswecoupon.com,17636,17636,91.42,3.68,1.48,Shopping
brands4friends.de,17644,17644,39.7,5.06,4.7,Shopping
hyundaiusa.com,17651,17651,45.1,3.62,2.94,Shopping
yenicaggazetesi.com.tr,17652,17652,43.5,3.95,3.33,Shopping
beautybay.com,17655,17655,38,5.9,5.8,Shopping
zalando.co.uk,17663,17663,41,4.61,4.1,Shopping
fhyx.com,17673,17673,42,4.3,3.8,Shopping
theidleman.com,17679,17679,54.3,2.44,1.65,Shopping
digimart.net,17682,17682,43,4.1,3.5,Shopping
hip2save.com,17728,17728,45.9,3.41,2.72,Shopping
amextravel.com,17734,17734,44.7,3.62,2.97,Shopping
gun.deals,17746,17746,44,3.78,3.2,Shopping
techbargains.com,17760,17760,58.2,2.14,1.35,Shopping
wed114.cn,17766,17766,61,2,1.2,Shopping
viptalisman.com,17773,17773,29.2,14.2,17.9,Shopping
consumercomplaints.in,17780,17780,52.9,2.53,1.75,Shopping
book24.ru,17794,17794,40.9,4.51,4.05,Shopping
mercariapp.com,17796,17796,31,10.7,13,Shopping
watchshop.com,17810,17810,40,4.71,4.3,Shopping
likuso.com,17811,17811,62,1.9,1.1,Shopping
warbyparker.com,17814,17814,39.4,4.98,4.64,Shopping
telunjuk.com,17818,17818,61.8,1.94,1.15,Shopping
jd.ru,17825,17825,41,4.44,3.98,Shopping
wickedweasel.com,17828,17828,59.51,8.03,4.953,Shopping
kjell.com,17829,17829,41.6,4.28,3.78,Shopping
made.com,17855,17855,40,4.88,4.5,Shopping
couponchief.com,17858,17858,49.2,2.87,2.1,Shopping
c5game.com,17876,17876,35,6.93,7.2,Shopping
alo.bg,17879,17879,35.2,6.88,7.16,Shopping
fun123.com.tw,17887,17887,80.83,5.35,2.43,Shopping
milanuncios.es,17892,17892,65.3,1.78,1,Shopping
jpc.de,17900,17900,38,5.51,5.4,Shopping
sportsmansguide.com,17915,17915,43.5,3.73,3.15,Shopping
telekom.hu,17928,17928,39.2,4.91,4.6,Shopping
tme.eu,17933,17933,39.9,4.67,4.3,Shopping
joesnewbalanceoutlet.com,17949,17949,39,4.86,4.5,Shopping
missguided.co.uk,17951,17951,37,5.62,5.5,Shopping
displate.com,17960,17960,36.7,5.94,5.9,Shopping
decathlon.com.tr,17973,17973,36.3,6.09,6.15,Shopping
elandmall.com,17975,17975,42,4.08,3.6,Shopping
kiabi.com,17999,17999,36,6.09,6.2,Shopping
rebates.jp,18019,18019,44,3.6,3,Shopping
netmeds.com,18021,18021,38.8,4.95,4.68,Shopping
etmall.com.tw,18029,18029,40.5,4.39,4,Shopping
bestreviews.guide,18030,18030,61.1,1.91,1.1,Shopping
gwdang.com,18032,18032,50,2.7,2,Shopping
sekaimon.com,18033,18033,36,6.26,6.4,Shopping
costcophotocenter.com,18035,18035,35.2,6.63,6.92,Shopping
amway.in,18049,18049,32.3,8.86,10.1,Shopping
minted.com,18055,18055,38.3,5.08,4.87,Shopping
zalando.nl,18064,18064,35,6.43,6.7,Shopping
arabam.com,18066,18066,39.5,4.65,4.32,Shopping
dunelm.com,18067,18067,38,5.03,4.8,Shopping
beatsbydre.com,18072,18072,48,2.9,2.2,Shopping
xwowmall.com,18078,18078,36,6.24,6.4,Shopping
citiesocial.com,18094,18094,38.3,5.05,4.8,Shopping
bestbuy.com.mx,18110,18110,44.1,3.48,2.89,Shopping
boyner.com.tr,18122,18122,36,6.02,6.13,Shopping
verkkokauppa.com,18124,18124,39,4.89,4.6,Shopping
hyundaihmall.com,18144,18144,40,4.42,4.1,Shopping
tiendeo.com,18152,18152,44,3.42,2.8,Shopping
homebase.co.uk,18155,18155,43.4,3.58,3,Shopping
altroconsumo.it,18158,18158,45,3.33,2.7,Shopping
gongpingjia.com,18170,18170,40,4.4,4.1,Shopping
meliuz.com.br,18184,18184,47,2.98,2.3,Shopping
sbtjapan.com,18192,18192,40.8,4.17,3.75,Shopping
vse42.ru,18194,18194,54.4,2.24,1.51,Shopping
garbarino.com,18201,18201,40.5,4.24,3.84,Shopping
di.se,18203,18203,49.8,2.63,1.94,Shopping
tnpds.gov.in,18211,18211,37.2,5.36,5.28,Shopping
oldi.ru,18223,18223,44.7,3.3,2.71,Shopping
114so.cn,18231,18231,54,2.3,1.6,Shopping
cardkingdom.com,18232,18232,37.5,5.22,5.11,Shopping
goop.com,18236,18236,45.3,3.19,2.58,Shopping
autopiter.ru,18239,18239,34.6,6.67,7.07,Shopping
saregama.com,18241,18241,56.7,2.08,1.35,Shopping
shopyourway.com,18242,18242,41.9,3.84,3.36,Shopping
hemmings.com,18252,18252,41.5,3.92,3.47,Shopping
myer.com.au,18254,18254,39.8,4.37,4.03,Shopping
shopfacil.com.br,18256,18256,58.1,2,1.3,Shopping
bitinfocharts.com,18281,18281,50,2.63,1.9,Shopping
bladehq.com,18282,18282,36.7,5.5,5.51,Shopping
graziamagazine.ru,18299,18299,59.8,1.9,1.17,Shopping
ruban.com,18303,18303,42.23,6.61,5.749,Shopping
game168.com.tw,18324,18324,56,2.1,1.4,Shopping
maigoo.com,18333,18333,49,2.7,2,Shopping
wps.com,18343,18343,53.6,2.25,1.5,Shopping
osinka.ru,18357,18357,37.9,4.91,4.75,Shopping
sanmar.com,18391,18391,31.1,9.29,10.9,Shopping
jne.co.id,18399,18399,46.4,2.95,2.33,Shopping
dermstore.com,18413,18413,39.5,4.32,4.01,Shopping
tala.ir,18422,18422,52.6,2.29,1.6,Shopping
palmettostatearmory.com,18442,18442,38.8,4.53,4.28,Shopping
webhallen.com,18446,18446,39.8,4.23,3.9,Shopping
fishersci.com,18447,18447,41.9,3.7,3.24,Shopping
girlsplay.com,18449,18449,61.49,6.15,3.673,Shopping
maxbounty.com,18462,18462,38.3,4.66,4.46,Shopping
fravega.com,18463,18463,40.6,3.99,3.6,Shopping
home24.de,18470,18470,38.9,4.48,4.2,Shopping
swoodoo.com,18480,18480,41.5,3.77,3.3,Shopping
adayroi.com,18486,18486,40.9,3.9,3.5,Shopping
toolstation.com,18502,18502,38.6,4.53,4.3,Shopping
xincheping.com,18503,18503,46,2.9,2.3,Shopping
bergfex.at,18525,18525,43,3.36,2.8,Shopping
defacto.com.tr,18526,18526,35.2,5.9,6.15,Shopping
5pao.com,18547,18547,41,3.9,3.5,Shopping
goldtag.net,18557,18557,34.7,6.13,6.48,Shopping
groupon.es,18576,18576,41,3.88,3.5,Shopping
kenrockwell.com,18585,18585,44,3.14,2.6,Shopping
cyberport.de,18623,18623,44.5,3.11,2.6,Shopping
rbt.ru,18642,18642,38.2,4.54,4.37,Shopping
vapordna.com,18651,18651,39,4.25,4,Shopping
xmfish.com,18662,18662,34,6.67,7.3,Shopping
shein.tw,18663,18663,44.4,3.1,2.56,Shopping
directferries.com,18677,18677,46,2.86,2.3,Shopping
jobthai.com,18690,18690,31.6,8.2,9.53,Shopping
ciceksepeti.com,18700,18700,37.7,4.64,4.51,Shopping
fujisan.co.jp,18704,18704,36,5.2,5.2,Shopping
mediasetpremium.it,18733,18733,35,5.8,6.1,Shopping
dealsea.com,18747,18747,56.5,1.95,1.3,Shopping
decathlon.in,18748,18748,36.6,5,5.02,Shopping
dealsplus.com,18758,18758,43,3.32,2.9,Shopping
wizaz.pl,18766,18766,44.6,3.01,2.5,Shopping
spartoo.com,18785,18785,40,4.01,3.7,Shopping
pioneerdj.com,18812,18812,40,3.82,3.5,Shopping
sony.co.in,18814,18814,44.1,3.06,2.54,Shopping
mzstatic.com,18832,18832,46,2.84,2.3,Shopping
modhoster.de,18845,18845,37,4.79,4.8,Shopping
ratemyserver.net,18855,18855,31.6,7.75,9,Shopping
discounttire.com,18861,18861,39.3,3.99,3.73,Shopping
creative.com,18862,18862,40,3.8,3.5,Shopping
