url,global_rank,country_rank,reach_per_million,page_views_per_million,page_views_per_user,category
bustedtees.com,142781,142781,4.1,0.32,2.8,Shopping
errve.com,143030,143030,3.9,0.38,3.6,Shopping
productreportcard.com,143168,143168,4.3,0.29,2.5,Shopping
jiamm.cn,143938,143938,4.5,0.26,2.1,Shopping
iphoned.nl,144816,144816,5.2,0.19,1.4,Shopping
hunterdouglas.com,145138,145138,4.1,0.31,2.8,Shopping
wxxinyinye.com,146191,146191,2,1.6,20,Shopping
rosegoldandblack.com,146363,146363,4,0.31,2.9,Shopping
systemkamera-forum.de,146410,146410,3.9,0.33,3.1,Shopping
dondepiso.es,146702,146702,6.67,0.3,1.64,Shopping
foto-erhardt.de,146722,146722,4.3,0.26,2.2,Shopping
aferry.com,147367,147367,4.3,0.26,2.2,Shopping
drezzy.it,147618,147618,3.7,0.38,3.8,Shopping
dutramaquinas.com.br,147919,147919,4.1,0.28,2.5,Shopping
monespaceconso.com,147959,147959,3.3,0.52,5.8,Shopping
company-list.org,148405,148405,4.3,0.25,2.2,Shopping
zugspitze.de,148946,148946,3.9,0.31,2.9,Shopping
vergegirl.com,149170,149170,3.4,0.45,5,Shopping
uret.se,149199,149199,3.4,0.43,4.5,Shopping
feliubadalo.com,149249,149249,3.3,0.5,5.6,Shopping
bricogeek.com,149345,149345,4.4,0.23,1.9,Shopping
used.forsale,149502,149502,4.5,0.22,1.8,Shopping
carethy.es,149724,149724,3.8,0.32,3,Shopping
comprigo.in,149809,149809,4.9,0.19,1.5,Shopping
sony-mea.com,149991,149991,4.6,0.21,1.7,Shopping
loaf.com,150346,150346,3.5,0.38,4,Shopping
fyvor.com,150711,150711,4.4,0.23,1.9,Shopping
mixdrop.ru,151121,151121,3.9,0.29,2.7,Shopping
evwest.com,151332,151332,3.5,0.39,4.2,Shopping
digikey.it,151518,151518,3.5,0.38,4,Shopping
kugli.com,152891,152891,3.3,0.43,4.9,Shopping
greyhaze.co.uk,153203,153203,3.4,0.4,4.4,Shopping
b-o.ro,153245,153245,3,0.54,6.5,Shopping
woolandprince.com,153314,153314,2.9,0.63,8,Shopping
cityfurniture.com,153332,153332,3.1,0.5,5.8,Shopping
tgrn.co.kr,153515,153515,3.4,0.38,4,Shopping
narsense.com,154127,154127,4.6,0.19,1.5,Shopping
newbalance.com.br,155550,155550,3.5,0.35,3.7,Shopping
stylefile.com,155658,155658,3.9,0.26,2.4,Shopping
falter.at,155753,155753,4.4,0.2,1.7,Shopping
hozsklad.ua,155771,155771,2.5,0.95,14,Shopping
autodoc.sk,156133,156133,3.5,0.33,3.5,Shopping
petsonic.com,156358,156358,3.3,0.37,4,Shopping
fleetfeet.com,156689,156689,3.7,0.29,2.9,Shopping
nutcs.com,157341,157341,2.8,0.63,8.3,Shopping
superyachtfan.com,157620,157620,4.9,0.16,1.2,Shopping
madridcenter.com,157788,157788,2.9,0.51,6.4,Shopping
ovisat.com,158066,158066,3.1,0.42,4.9,Shopping
honeycolony.com,158105,158105,5,0.16,1.2,Shopping
chauvetdj.com,158541,158541,3.7,0.27,2.7,Shopping
denondj.com,158827,158827,3.7,0.27,2.7,Shopping
xietui.com,158852,158852,3.5,0.3,3.1,Shopping
wegotsoccer.com,159134,159134,3.5,0.3,3.2,Shopping
titano-store.com,159328,159328,2.7,0.67,9.2,Shopping
tilebar.com,160119,160119,3.5,0.3,3.2,Shopping
odla.nu,160424,160424,4,0.21,1.9,Shopping
habibs.com.br,160433,160433,3.4,0.32,3.5,Shopping
cifrus.ru,160860,160860,3.4,0.31,3.4,Shopping
hawaalive.com,160908,160908,3.9,0.22,2.1,Shopping
posterlounge.de,162309,162309,3.8,0.23,2.3,Shopping
tablette-tactile.net,162934,162934,4.7,0.16,1.2,Shopping
textiletorg.ru,163564,163564,3.4,0.3,3.3,Shopping
