url,global_rank,country_rank,reach_per_million,page_views_per_million,page_views_per_user,category,lang_code,dp,deceptive
redbubble.com,1265,1265,507.0,55.5,4.01,Shopping,en,False,False
jumia.com.ng,1350,1350,458.0,58.68,4.71,Shopping,en,False,False
lazada.co.th,1370,1370,404.0,81.49,7.41,Shopping,en,False,False
ebay.ca,1412,1412,416.0,67.46,5.96,Shopping,en,True,False
lazada.com.my,1431,1431,389.0,79.31,7.48,Shopping,en,False,False
gap.com,1479,1479,447.0,48.1,3.95,Shopping,en,False,False
zappos.com,1490,1490,425.0,53.6,4.64,Shopping,en,False,False
houzz.com,1538,1538,448.0,41.4,3.39,Shopping,en,True,False
garmin.com,1581,1581,437.0,39.9,3.35,Shopping,en,False,False
made-in-china.com,1724,1724,394.0,39.9,3.72,Shopping,en,False,False
lg.com,1742,1742,439.0,30.2,2.52,Shopping,en,False,False
bedbathandbeyond.com,1757,1757,379.0,42.2,4.09,Shopping,en,False,False
daraz.pk,1759,1759,392.0,38.18,3.57,Shopping,en,True,False
overstock.com,1785,1785,356.0,47.7,4.91,Shopping,en,True,True
jabong.com,1827,1827,342.0,49.57,5.32,Shopping,en,True,False
walgreens.com,1848,1848,350.0,44.8,4.7,Shopping,en,False,False
logitech.com,1888,1888,371.0,35.0,3.46,Shopping,en,False,False
argos.co.uk,1919,1919,342.0,41.3,4.43,Shopping,en,False,False
staples.com,1961,1961,353.0,35.2,3.66,Shopping,en,False,False
droom.in,1965,1965,636.36,45.99,2.65,Shopping,en,True,False
lazada.com.ph,1967,1967,302.0,54.0,6.56,Shopping,en,True,False
poshmark.com,1993,1993,299.0,53.4,6.57,Shopping,en,False,False
amazon.com.au,2004,2004,298.0,53.3,6.57,Shopping,en,False,False
yoox.com,2028,2028,265.0,75.2,10.4,Shopping,en,False,False
woot.com,2036,2036,354.0,30.8,3.2,Shopping,en,False,False
gog.com,2059,2059,364.0,27.9,2.81,Shopping,en,False,False
barnesandnoble.com,2091,2091,359.0,27.5,2.82,Shopping,en,False,False
adidas.com,2136,2136,324.0,32.7,3.71,Shopping,en,False,False
jcpenney.com,2157,2157,301.0,38.6,4.71,Shopping,en,True,False
urbanoutfitters.com,2172,2172,297.0,39.1,4.83,Shopping,en,True,False
forever21.com,2180,2180,273.0,50.0,6.72,Shopping,en,True,True
